"question_id","subject_id","content"
"us20133","us15","Suppose you are walking home after school. The distance from school to your home is five kilometers. On <br /> foot, you can get home in 25 minutes. However, if you rode a bicycle, you could get home in 10 minutes.<br /> a. What is your average speed while walking?<br /> b. What is your average speed while bicycling?<br /> c. How much faster you travel on your bicycle?"
"us20648","us15","You are planning a trip to Singapore. Your travel agent gives you the proper<br /> transformer to step down the voltage so you can use your electric appliances<br /> there. Curious, you open the case and find that the primary coil has 46 turns and<br /> the secondary has 24 turns. Assuming the output voltage is 120 volts, what is the<br /> standard household voltage in Singapore?"
"us20862","us15","what factors make earth a particularly congenial place for us to live?"
"us21053","us15","Determine the acceleration of a 34.0 Kg block along a frictionless inclined plane at a 35° slope."
"us21139","us15","A liquid with a specific heat of 1,900 J/kg·°C has 4,750 joules of heat energy is added to it. If the<br /> temperature increases from 20°C to 30°C, what is the mass of the liquid?"
"us21675","us15","If time =7h8min34.29s and you are using a kinematic equation were v1=km/h and your looking for the displacement. How do you write the time. Like in which unit of measurement"
"us21677","us15","An object is thrown off a cliff with a horizontal speed of 10 m/sec. After 3 seconds the object hits the<br /> ground. Find the height of the cliff and the total horizontal distance traveled by the object.<br /> a. What do you know?<br /> b. What do you need to solve for?<br /> c. What equation(s) will you use?<br /> d. What is the solution to this problem?"
"us21680","us15","<p>Fill in the blanks please!</p><p>Work is the amount of _____ required to move an object multiplied by the _____ the object travels.</p><p>The formula for work is W=__*__</p><p>Machines help us do the same amount of work but with less effort ____.<br /></p>"
"us21768","us15","What is the formula for converting Fahrenheit to Celsius?<br />"
"us21888","us15","WHAT 4 characteristics does every mineral have "
"us22185","us15","A child’s toy rake is held so that its output arm is 0.75 meters. If the mechanical advantage is 0.33, what is<br /> the input arm length?"
"us22206","us15","What are 2 important properties of an air mass"
"us22371","us15","What is the mass of a pure platinum disk with a volume of 113 cm3? The density of platinum is 21.4 g/cm3.<br /> Give your answer in grams and kilograms."
"us22392","us15","At about 55 meters/sec, a falling parachuter (before the parachute opens) no longer accelerates. Air friction <br /> opposes acceleration. Although the effect of air friction begins gradually, imagine that the parachuter is free <br /> falling until terminal speed (the constant falling speed) is reached. How long would that take?"
"us22459","us15","How much air resistance does a 10 kg free falling object experience when it falls at terminal velocity? (With the free body diagram and the Fnet equation)"
"us22661","us15","What is the total displacement of a bee that flies 2 meters east, 5 meters north, and 3 meters east?"
"us23823","us15","what is liquid mean???<br /><br />"
"us23829","us15","What is a plasma membrane?<br />"
"us24001","us15","A 100. Kilograms mass falls freely a distance of 600.0 meters near earths surface. What is the kinetic energy gained by the mass falling? "
"us24371","us15"," A cat is being chased by a dog. Both are running in a straight line at constant speeds. The cat has a head start of 3.8 m. The dog is running with a speed of 8.9 m/s and catches the cat after 6.0 s. How fast did the cat run? <br />"
"us24435","us15","What is the relationships among kinetic energy, temperature, heat and thermal energy?<br />"
"us24683","us15","Hydrogen is grouped with the alkali metals because it?"
"us25255","us15","How to find the radius in circular motion? "
"us26183","us15","A marble rolling at a speed of 2 meters per second falls off the end of a 1-meter high table. How long will the<br /> marble be in the air?<br /> a. What do you know?<br /> b. What do you need to solve for?<br /> c. What equation(s) will you use?<br /> d. What is the solution to this problem?"
"us26690","us15","what are the properties of electromagnetic waves? Explain"
"us27230","us15","hydrothermal energy could provide all the energy we need is it true or false"
"us28027","us15","<strong>Hinge Joints-These jointscan only move in one direction, like a door hinge. One bone works against another. Movement is back and forth on one plane.<br /><em></em><em></em></strong><em>Examples:_____________________________________</em><br />"
"us28119","us15","You hear a thunder 3 seconds after you see lightning. How far away is the storm? "
"us28252","us15","what is a reflection "
"us28283","us15","does gas have as definite or indefinite volume<br />"
"us29516","us15","What does terminal velocity mean?"
"us29610","us15","which is a structural adaptation<br /><br />"
"us29671","us15","velocity = 2 * pi * radius / time. How to find time?"
"us30713","us15","If you are traveling at 65 miles per hour, how many feet will you be traveling in one second?"
"us30833","us15","I think we have all heard of it but Why does E=MC2 ??"
"us30861","us15","What does all the planets smell like? Just Wondering!"
"us31004","us15","what is the name of water stored in an aquifer<br /><br />"
"us31226","us15","what is friction and explain"
"us31236","us15","define natural resource and explain"
"us31264","us15","what are the layers of the earth and its order from out to in"
"us31502","us15","<span>The coordinates of a bird flying in the xy-plane are given by x(t)=αt and </span><span>y(t)=3.0m−βt2</span><span>, where </span><span>α=2.4m/s</span><span> and </span><span>β=1.2m/s2</span><span>.</span><span>part a:Calculate the velocity vector of the bird as a function of time. Give your answer as a pair of components separated by a comma. For example, if you think the xcomponent is 3 and the y component is 4, then you should enter 3,4.<br /><br />part b:Calculate the acceleration vector of the bird as a function of time. Give your answer as a pair of components separated by a comma. For example, if you think the x component is 3 and the y component is 4, then you should enter 3,4</span>"
"us31679","us15","can u show me  five diffrernt  gases"
"us31709","us15","If a wave has frequency f=10¹⁴ Hz and speed v = 100 m/s, what is its wavelength?"
"us31744","us15","What happens to the magnetic domains in a material when the material is placed in a strong magnetic field? <br /> Please help and thank you!"
"us31997","us15","How can there be so many different substances in the world if there are only a few elements that are common?"
"us32021","us15","The electrons at the outer level of the atom are called<br />"
"us32302","us15","What are microwaves needed and used for in everyday living?"
"us32449","us15","what is the French word for shepherds crook "
"us33979","us15","Why are there different types of volcanos?<br /><br />"
"us34141","us15","The wind exerts a force of 42N north on a sailboat, while the water exerts a force of 325N west on the sailboat. Find the magnitude and direction of the net force on the sailboat "
"us34401","us15","How much work is done on a a 60 <strong>n</strong> box of books that you carry horizontally across a 6 <strong>m</strong> room?"
"us35043","us15","<span>Which of the following statements about ice melting is true and why?<br />A. Energy flows from the ice to its surroundings.<br />B. Water molecules move from their fixed position.<br />C. Water molecules lose energy. <br />D. The temperature of the ice increases as it melts.</span>"
"us35052","us15","<span>What environmental factors affect kinetic energy and diffusion? </span>"
"us35601","us15","Explain this please: ""Boiling is a cooling process."""
"us36005","us15","What is the acceleration of a 0.30 kilogram ball that is hit with a force of 25 N?"
"us36744","us15","How can a variable resistor be used to control the brightness of lights<br /><br />"
"us36758","us15","The model of the universe that suggests that the sun is the center of the universe was first brought by <br />A. Brahe.<br />B. Kepler.<br />C. Ptolemy.<br /><span>D. Copernicus.<br />Can also someone add few facts about this suggestion and its author?</span>"
"us37333","us15","if the earth's surface is cold how does the above the surface move"
"us39183","us15","The movement of deep ocean currents is mainly caused by:?"
"us39430","us15","<span>A dart is thrown horizontally with an initial speed of 10 m/s toward point P, the bull's-eye on a dart board. It hits at point Q on the rim, vertically below P, 0.19 s later. <br />(a) What is the distance ? <br />(b) How far away from the dart board is the dart released?</span>"
"us39450","us15","<span>Which heavenly bodies are involved in causing the earths tides?<br />A.only the moon and earth.<br />B.only the earth.<br />C.the earth, moon, and sun.<br />D.all the planets plus the moon.</span><br />"
"us41648","us15","what is protons and neutrons"
"us42105","us15","<span>As a wave moves through a medium, particles are displaced and</span>"
"us42220","us15","In what direction does friction always act?"
"us42223","us15","name the scientist that showed copernicus's theory of a moving earth reasonable? "
"us42273","us15","what is the mass of an object that is accelerating at a rate of 25 m/m2s and is using 15 N of force"
"us42362","us15","Why cant geologists use rocks from Earth to learn how long ago Earth formed?"
"us42512","us15","How do you calculate deceleration?"
"us42516","us15","What is meant by the term resultant force?"
"us43034","us15","Whats newtons first law of motion"
"us43160","us15","What is the difference between the charges on a balloon rubbed in your hair and a glass rod rubbed with silk?"
"us43345","us15","When you hit a nail into a board using a hammer the head of the nail gets warm. In terms of kinetic and thermal energy describe why you think this happens?"
"us43460","us15","would a tiger be a consumer or producer?<br /><br /><br />"
"us45572","us15","one way that animals adapt to seasonal change"
"us45712","us15","whats the denfinition of reconcilaition and the four stages of it in detail please thanks."
"us45718","us15","interesting facts on vets"
"us45845","us15","A ski jumper competing for an Olympic gold medal wants to jump a horizontal distance of 135 meters. The<br /> takeoff point of the ski jump is at a height of 25 meters. With what horizontal speed must he leave the jump?<br /> a. What do you know?<br /> b. What do you need to solve for?<br /> c. What equation(s) will you use?<br /> d. What is the solution to this problem?"
"us46004","us15","Explain why the current is reduced as electrons move through a conductor.<br />"
"us46056","us15","true or false? Three common voltage sources are batteries, solar cells, and generators."
"us46416","us15","What makes up a sound wave?"
"us46760","us15","How are mass and weight different? (apart from the means used to measure them)"
"us46868","us15","Can you get a material attracted to magnets but is not a metal?"
"us47646","us15","<span>The breeze during a sunny day at the beach is usually a result of _________________________________________.                                                                          A) the water heating faster than the land<br />B) planes flying overheat with large banners<br />C) the land heating faster than the water<br />D) boats passing the shore too closely<br /></span>"
"us47777","us15","<span>Sea breezes and land breezes are caused by ___________________________.                           A) uneven heating of the land and ocean<br />B) the jet stream<br />C) combustion<br />D) the westerly winds<br /></span><br />and<br /><br />The jet stream can cause a deflection in the _________________________ as they move across the United States.                                                                                                         <span>A) </span>Gulf Stream currents<br /><span>B) </span>trade winds<br /><span>C) </span>prevailing westerlies<br /><span>D) </span><span>East Australian currents</span><br />"
"us48326","us15","Why do trains use steel wheels rather than rubber tires?                                                                 <span>A) </span>Steel wheels provide more grip, making it easier to stop a train.<br /><span>B) </span>Rubber tires don't provide enough friction to allow the train to move.<br /><span>C) </span>Steel wheels increase friction, thus making it easier to move the load.<br /><span>D) </span><span>Steel wheels reduce friction, thus requiring less force to move the load.</span>"
"us48534","us15","A car accelerates steadily so that it goes from a velocity of 20 m/s to a velocity of 40 m/s in 4 seconds. What is its acceleration?<br /> Can anyone explain me how to make this one step by step?"
"us49035","us15","Although the production of heat may be bad in some cases, describe another example where the production of heat is good."
"us49164","us15","<p>why is the angle of refection equal to the angle of incidence?</p>"
"us49463","us15","<span><strong><em><u>Friction in machines is commonly reduced by using what?</u></em></strong></span>"
"us49471","us15","<span><strong>The resistance of moving surfaces produces ________?</strong><br /></span><strong>Friction always results in a loss of ______</strong><span><strong> in the form of _____</strong></span><span><strong> which enters the atmosphere.</strong><br /></span><span><strong>Friction can sometimes be the result of the attraction of different substances which are in contact with one another. true or false</strong><br /></span><span><strong>Oil or water clinging to a surface of a jar is a example of ______________<br /></strong></span><br />"
"us49747","us15","What are the two types of mountains that form as the result of convergence??"
"us49752","us15","A machine does 1,500 joules of work in 30 seconds. What is the power of this machine?"
"us49809","us15","While in Canada, the engineer buys a new electric toothbrush. When she returns home she designs another<br /> transformer so she can use the toothbrush in India. This transformer also has an input coil with 240 turns.<br /> How many turns should the output coil have?"
"us50866","us15","The lower the machine efficiency, the blank the friction?"
"us52541","us15","<br /><span>If a substance conducts heat easily, it is considered to be a<span>good insulator.</span><span>bad substance.</span><span>good conductor.</span><span>poor conductor.</span></span>"
"us52845","us15","What can we find on the sun? As in, what's covering it."
"us52898","us15","<span>Imagine that you are baking brownies for a bake sale at school. <br /><br /><span>Which of the following pans is least likely to cause you to burn the bottoms of your brownies?</span></span><span>a glass pan, </span><span>an aluminum pan, </span><span>a cast iron pan or </span><span>a copper pan</span>"
"us54459","us15","Stars go through a life cycle. About 90% of all stars are in the main sequence period of the life cycle. Stars are stable during the main sequence period of the life cycle. Why?"
"us54614","us15","How do you do free body diagrams?"
"us55132","us15","In your every day life you come across a range of motion in which ,<br />a) Acceleration is in the direction of motion <br />b) Acceleration is against the direction of motion<br />c) Acceleration in uniform<br />d) Acceleration in non-uniform"
"us55284","us15","Clear conditions are usually a result of __________________________________.                           <span>A) </span>warm temperatures<br /><span>B) </span>a high-pressure system<br /><span>C) </span>cloudy conditions<br /><span>D) </span><span>a low-pressure system</span>"
"us55893","us15","what is the formula for gravity"
"us55909","us15","A person in a kayak paddles down river at an average speed of 10 km/h. After 3.25 hours, how far has she traveled?"
"us56572","us15","In the formula V = pr^2*h, what is the value of r, in terms of V and h?"
"us56634","us15","Convert 56.0 kg into pounds (lb)"
"us56990","us15","what happened in chapters 10, 11, 12, 13 in the Hunger games book #1?"
"us57080","us15","Which organ detects stimuli from the environment and is part of the nervous system?"
"us57906","us15","You use a 1200-watt hair dryer for 10 minutes each day. a. How many minutes do you use the hair dryer in a month? (Assume there are 30 days in the month.) b. How many hours do you use the hair dryer in a month? c. What is the power of the hair dryer in kilowatts? d. How many kilowatt-hours of electricity does the hair dryer use in a month? e. If your town charges $0.15/kWh, what is the cost to use the hair dryer for a month?"
"us58045","us15","What range of frequencies is detected by a person with good hearing?"
"us58107","us15","what is the measurement unit definition of heat,temperature,thermal energy,and kinetic energy?"
"us59745","us15","Earth travels around the sun at a spreed of 30,000 meters per second. Express this in kilometers per hour."
"us60134","us15","______ are used when drawing circuit diagrams "
"us60526","us15","Can mass be crested or destroyed "
"us60719","us15","The chemical formula for water, H2O, means that each water molecule contains"
"us61091","us15","Will an object with a density of 1.05 g/ml float or sink in water? Explain"
"us61148","us15","in an atom where are the electrons with less energy most likely located?"
"us61301","us15","Which of the following is an example of pure research? Creating new elements to study their properties Producing plastics that are heat-resistant to use in ovensDetermining how to reduce rusting on metal ships and cargo carriersFinding alternatives to gasoline to fuel transportation vehicles"
"us61309","us15","A person opens a door by applying a 10-N force perpendicular to it at a distance 0.90m from the hinges."
"us61324","us15","Which of the following occurs when the strength of the current flowing through a wire is increased?A. the direction of the field changesB. the magnetic force is createdC. the magnetic field is increasedD. the magnetic field is decreased"
"us61884","us15","A student notices that an inflated balloon gets larger when it is warmed by a lamp. Which best describes the mass of the balloon as a result of this change?<br /> <br />  A. The mass of the balloon increases because the size of the balloon has increased.<br />  <br />  B. The mass of the balloon increases because the temperature of the balloon has increased.<br />  <br />C. The mass of the balloon stays the same because the gas inside the balloon still has same mass after it warms up.<br /><br />D. The mass of the balloon stays the same because warming decreases the mass enough to cancel out the effect of  increasing the size.<br />                  <br /><br />                                    <strong>Please explain why you chose your answer</strong><strong></strong><br /><br /><br /><br /><br />"
"us62172","us15","I need to explain how objects can have the same volume but different mass. Help??"
"us62402","us15","In a grassland ecosystem, if the pollution of eagles suddenly decreased, what will most likely be the effect on the rest of the ecosystem.<br /> <br />  A. The ecosystem will become overpopulated with snakes.<br />  <br />  B. There will be a decrease in the population of snakes in the ecosystem.<br />  <br />  C. The nutrition of the soil in the ecosystem will decrease.<br />  <br />  D. More type of plants will begin growing in the ecosystem.<br /><br /><br /><br /><br />"
"us62501","us15","What is most responsible for the uneven heating of the air in the atmosphere?"
"us62504","us15","What must occur before clouds can form?"
"us62791","us15","____________ is the practice of raising fish and other water-dwelling organisms for food<br /> A. Land Redamation<br /> B. Aquifier<br /> C. desertification <br /> D. aquaculture "
"us63374","us15","<span>How does a chemical change effect the <span>identify of a material?</span></span>"
"us64222","us15","What is the relationship between Voltage and Resistance?"
"us64223","us15","What is the equation for calculating the heat energy released during heating effect of electric current?"
"us64224","us15","What is the equation for calculating electric power?"
"us64552","us15","a firefighter arrived at a burning building and felt the heat immediately this is due to the thermal energy transfered by <br />"
"us64889","us15","what is the definition of ""atom"""
"us65053","us15","<strong>what is a robin is it a herbivores or carnivores or omnivores or decompers</strong>"
"us65202","us15","how are static electricity and current electricity alike and different?<br /><br />"
"us65453","us15","Suppose you are looking at a scene that has mountains near the ocean. where do u think the crust should be the thickest?"
"us65665","us15","what are the different parts of a <strong>plant cell</strong>?<strong></strong><br />"
"us66872","us15","Is metaphysics related to Christian religion?<br />"
"us67427","us15","comparison of convection and conduction?"
"us67919","us15","how many legs does a butterfly have"
"us68135","us15","What is newtons 3rd law of motion and an example?"
"us68263","us15","Why does an electrically heated mirror stay clear when a person has a shower?"
"us68576","us15","what is solar thermal energy?"
"us68634","us15","what is a vortex? need some help"
"us68922","us15","How do I calculate mechanical efficiency of a pulley?"
"us69447","us15","The specific temperature at which a substance changes from a liquid to a gas is an example of a"
"us69646","us15","What is an example that shows internal force ?"
"us70083","us15","in what situation does friction make an object change its shape"
"us70233","us15","How does friction affect forward motion give an example "
"us70245","us15","How does air resistance affect the velocity of a falling object"
"us70247","us15","What 2 sources of friction do you have to overcome when you are walking"
"us70248","us15","If you push a chair across the floor at a constant velocity, how does the force of friction compare with the force you exert? explain."
"us71043","us15","How would global winds be affected if the sun began to put out more energy?why?"
"us71163","us15","give example for <br />acceleration in uniform and non-uniform"
"us71164","us15","suggest example for<br />a)acceleration in direction of motion<br />b)acceleration in against the direction of motion"
"us71248","us15","Where is your potential energy greatest when you are swinging on a playground swing?"
"us71559","us15","What is the bending of a wave around a barrier?"
"us71560","us15","Warm air and water rise because..."
"us71783","us15","What is the thermal energy needed to raise 1000g of water by 20 degrees celsius? Is this reaction exothermic or endothermic?"
"us71784","us15","When droplets of water in the atmosphere act like prisms, the colors in sunlight undergo?"
"us72080","us15","The position of a certain particle depends on time according to the following equation. <br /> X(t)=t^-5.2t+1.2<br /> X is in meters and t is in seconds.<br /> A) find the displacement and average velocity for the interval 3.4s less than or equal to t less than or equal to 4.5a"
"us72152","us15","How a spoon can sound like a bell "
"us72632","us15","Does the surrounding air become warm  or cool when vapour phase of H2O condenses? Explain"
"us73162","us15","which energy transformation takes place when a firecracker explodes?<br />  A. Gravitational potential to mechanical and electromagnetic <br />  B. Nuclear to kinetic and chemical <br />  C. Mechanical to electromagnetic and electrical <br />  D. Chemical to thermal and electromagnetic "
"us73180","us15","how can a cyclist minimize friction as he or she rides?<br /> A.by increasing the weight of the  bike<br /> B.by increasing the trend on his or her tires <br /> C.by decreasing the air resistance <br /> D.by decreasing aerodynamic design "
"us74248","us15","why do we get dew on the surface of a cold soft drink bottle kept in open air?<br />"
"us74273","us15","Compare 2 renewable ways of generating electricity"
"us74523","us15","My cycle is not moving even i'm cycling hard.why it is so?"
"us74525","us15","A body of mass 2 kg is moving in the positive X-Direction with a speed of 4 m/s collides head on with an another body of mass 3 kg moving in the negative X-Direction with a speed of 1 m/s . During collision a loud sound is heard and they both start moving together . the sound energy cannot be greater than :<br />A) 12 J<br />B) 14 J<br />C) 15 J<br />D) 17.5 J "
"us74540","us15","1 . A farmer moves along the boundary of his rectangular field of side 10m x 20m . farmer covers 1m in 1sec . what will be the magnitude of displacement at the total distance travelled.<br /><br />2 . Rahul pedals his cycle from rest. Pedals his cycle to get a<br /> velocity of 10 ms-1  in 30 seconds.<br /> then he applies brakes in such that the velocity of the cycle comes does to 6<br /> ms-1  in next 5 seconds . calculate<br /> the acceleration and deceleration ."
"us74541","us15","1 . a train starting from rest attains 90 km h-1   in 4 min  acceleration and the distance traveled by the train for attaining his velocity .<br /><br />2 . the brake applied to the car to produce a acceleration of 2ms-2  if the car takes 10 sec to stop calculate this distance traveled during the time ."
"us74542","us15","A bus starting from rest moves with uniform acceleration 1ms-2  for 2 min find the final speed and the total distance traveled ."
"us74775","us15","a spoon can sound like bell no this  is not  a riddle  it science prove it<em></em>"
"us74968","us15","What does balanced and unbalanced forces have to do with newtons laws of motion"
"us75389","us15","Which phrase describes an atom?<br /> a positively charged electron cloud surrounding a positively charged nucleus<br /> a positively charged electron cloud surrounding a negatively charged nucleus<br /> a negatively charged electron cloud surrounding a positively charged nucleus<br /> a negatively charged electron cloud surrounding a negatively charged nucleus"
"us76037","us15","<span>A solid ball of mass M = 10 kg and radius R = 0.5 meters rolls (without </span><span>slipping) down an incline from a vertical height of 5 meters.  Using the </span><span>conservation of energy, calculate the final (linear, or “v”) velocity of the ball </span><span>when it reaches the ground.  The moment of inertia of a solid ball is 2/5 MR2.</span>"
"us76235","us15","18.   The orbits of planets being elliptical was one the planetary laws developed by <br />"
"us76841","us15","How do us measure volume in science e.g if something is 14ml What is that in cm3 thanks"
"us78312","us15","Help me what times would it e and where do i put a x to show where London will be in 12 hours  time "
"us78415","us15","<br /> 13.   Sound waves can't travel through <br /><br /> A. a solid.<br /> B. a liquid.<br /> C. an elastic material.<br /> D. a vacuum.<br /><br />"
"us78437","us15","<br /> 16.   The spreading of sound waves around openings in barriers is called <br /><br /> A. reverberation.<br /> B. an echo.<br /> C. diffraction.<br /> D. refraction.<br /><br />"
"us79360","us15","Whatdid isaac newton invent"
"us79824","us15","what is chemical reaction?give examples<br />"
"us79937","us15","Why dogs pant during hot summer days"
"us80481","us15","The half-life of carbon-14 is 5,730 years. How many grams of parent material will remain from a 120-gram sample of carbon-14 after 2 half-lives? "
"us80990","us15","why dogs pant during hot summer ?<br />"
"us81749","us15","I just need the equation on how to do it. I'm so lost :'( help please!!!!!!"
"us82008","us15","please help!! the photo I have posted with this, has the question I need answered! please help! need to know asap! ( its a physical education question)  "
"us82020","us15","It Refers to the emission of electrons from a metal when light shines on metal. Example: static electricity"
"us82406","us15","a current of 4A flows in a wire of resistance 60 ohm. calculate electrical energy consumed in 2 min."
"us82605","us15","a lamp rated 100w 220 v is connected to mains electric supply . what current is drawn from the supplyy line, if the voltage is 220 v?"
"us82678","us15","who invented electron dot structure?????"
"us82707","us15","What is rheostat used for?"
"us82713","us15","400J of heat is produced in 4 sec in 4ohm resistor.calculate yhe PD across the resistor."
"us82794","us15","plzz .... explain breifly what is diffusion..?"
"us82827","us15","is potential difference is same in parallel series"
"us82963","us15","Definition of non-conventional energy sources."
"us83130","us15","What do you understand by the term 'potential difference'."
"us83311","us15","( innovation in agriculture for sustainable future prospects and challenges ) paragraph      <br /><br />plz help me ...<br /><br /><br />"
"us83762","us15","what is potential at a point which is at infinite distance from a charge ?"
"us83782","us15","<span>Density is calculated by dividing the mass of an object by its volume. </span><span><br />Please select the best answer from the choices provided<br /><br /></span><span>True or false<br /><br /></span>"
"us83806","us15","define and state the SI units of displacement"
"us84077","us15","what is a dyne? Please help me"
"us85067","us15","A crane does 62,500 joules of work to lift a boulder a distance of 25.0 meters. How much did the boulder weight "
"us85541","us15","magnitude   of   linear    momentum"
"us86073","us15","_______________________________ causes the most change in atmospheric temperatures.<br /> A) Radiation<br /> B) Conduction<br /> C) Convection<br /> D) Combustion"
"us86356","us15","Identify 4 natural agents of erosion"
"us86517","us15","what is inertia? Please explain"
"us86616","us15","Why can t a laboratory thermometer be used for measuring human body temperature?give two reasons"
"us87169","us15","What is the 7th planet from the sun"
"us87247","us15","how inertia and mass are inter related to each other ?"
"us87265","us15","what are light years actually? answer in brief"
"us87361","us15","if the minimum velocity of a projectile is double the minimum velocity,the angle of projection is"
"us87666","us15","why should we not catch a hot pan  with a wet cloth"
"us87667","us15","few applications of specific heat<br />"
"us87674","us15","what is high specific heat capacity .explain with example"
"us87734","us15","why is magnetism inside solenoid higher than outside?"
"us87823","us15","how is velocity of a body in uniform circular motion related to its time period"
"us87852","us15","Can you please explain me how to do integration in physics in a easy way?"
"us87854","us15","the equation of projectile is y = ax - bx2 . its horizontal range is?"
"us88012","us15","condensation of clouds is physical change or chemical change??"
"us89207","us15","Why an ammeter is connected in series with other circuit components?"
"us89802","us15","What is something they created for space and we use it down on earth"
"us90044","us15","name 3 devices used by ancient people to know time."
"us90262","us15","How a homemade thermometer works plz explain thx"
"us90998","us15","compare and contrast area and volume<br /><br />"
"us91187","us15","give 5 examples of magnet<br /><br />"
"us91190","us15","what are the types of motion? explain briefly [for a project]"
"us91192","us15","what are the types of motion? explain briefly [for 10 marks project]"
"us91218","us15","about working of geyser and prepare a report<br />"
"us91225","us15","history of spherical mirrors in human civilization"
